THUMB_CMC_X,THUMB_CMC_Y,THUMB_CMC_Z,THUMB_MCP_X,THUMB_MCP_Y,THUMB_MCP_Z,THUMB_IP_X,THUMB_IP_Y,THUMB_IP_Z,THUMB_TIP_X,THUMB_TIP_Y,THUMB_TIP_Z,INDEX_FINGER_MCP_X,INDEX_FINGER_MCP_Y,INDEX_FINGER_MCP_Z,INDEX_FINGER_PIP_X,INDEX_FINGER_PIP_Y,INDEX_FINGER_PIP_Z,INDEX_FINGER_DIP_X,INDEX_FINGER_DIP_Y,INDEX_FINGER_DIP_Z,INDEX_FINGER_TIP_X,INDEX_FINGER_TIP_Y,INDEX_FINGER_TIP_Z,MIDDLE_FINGER_MCP_X,MIDDLE_FINGER_MCP_Y,MIDDLE_FINGER_MCP_Z,MIDDLE_FINGER_PIP_X,MIDDLE_FINGER_PIP_Y,MIDDLE_FINGER_PIP_Z,MIDDLE_FINGER_DIP_X,MIDDLE_FINGER_DIP_Y,MIDDLE_FINGER_DIP_Z,MIDDLE_FINGER_TIP_X,MIDDLE_FINGER_TIP_Y,MIDDLE_FINGER_TIP_Z,RING_FINGER_MCP_X,RING_FINGER_MCP_Y,RING_FINGER_MCP_Z,RING_FINGER_PIP_X,RING_FINGER_PIP_Y,RING_FINGER_PIP_Z,RING_FINGER_DIP_X,RING_FINGER_DIP_Y,RING_FINGER_DIP_Z,RING_FINGER_TIP_X,RING_FINGER_TIP_Y,RING_FINGER_TIP_Z,PINKY_MCP_X,PINKY_MCP_Y,PINKY_MCP_Z,PINKY_PIP_X,PINKY_PIP_Y,PINKY_PIP_Z,PINKY_DIP_X,PINKY_DIP_Y,PINKY_DIP_Z,PINKY_TIP_X,PINKY_TIP_Y,PINKY_TIP_Z,CLASS
0.822913349,0.811216593,-0.030279284,0.769882143,0.810272932,-0.046193153,0.723706841,0.805569649,-0.059408322,0.686629057,0.797975898,-0.073365882,0.753433466,0.916550577,-0.031308141,0.710238934,0.954649031,-0.050875228,0.683007836,0.98227948,-0.06635391,0.661296487,1.005224586,-0.077374123,0.774616301,0.954334915,-0.027987683,0.739594221,1.003278255,-0.043866012,0.719136834,1.035226941,-0.057257589,0.702772737,1.061954498,-0.066915542,0.80219084,0.976237237,-0.027656792,0.779332161,1.027500749,-0.041460235,0.765923321,1.060329318,-0.05058746,0.754140794,1.087538958,-0.057076897,0.835399926,0.982881904,-0.030240767,0.825230122,1.027323484,-0.0421331,0.818572521,1.055026174,-0.046362419,0.810923278,1.079428077,-0.04867344,0
0.796207845,0.785647154,-0.027505996,0.743264139,0.785662472,-0.042377174,0.696398199,0.783449292,-0.055750232,0.659237504,0.773766041,-0.07003054,0.721696079,0.899146438,-0.029740993,0.67715615,0.937278867,-0.049556497,0.648727059,0.963292956,-0.065490633,0.624755859,0.985850215,-0.077019244,0.744452834,0.939064026,-0.028988836,0.709572077,0.994152784,-0.044635937,0.690975726,1.028363705,-0.057844281,0.67693758,1.05767107,-0.067818701,0.774985135,0.959533274,-0.031129455,0.752539337,1.015856624,-0.045784455,0.741826057,1.054170609,-0.056522168,0.732608974,1.08658874,-0.064425856,0.811780512,0.96491611,-0.036056321,0.804704368,1.013822913,-0.049551882,0.800856471,1.046381831,-0.056060191,0.796631753,1.076261997,-0.060052399,0
0.788705051,0.776697457,-0.026979947,0.736029744,0.7805022,-0.041957248,0.688399911,0.778305054,-0.055500671,0.65204227,0.769037724,-0.070004806,0.714768946,0.894082844,-0.029982304,0.670984387,0.933074713,-0.050368275,0.643127978,0.960554838,-0.067236751,0.61886698,0.985067904,-0.079694763,0.738350332,0.93399477,-0.030000119,0.704017162,0.99532938,-0.046247009,0.685639203,1.032032967,-0.060464334,0.671410441,1.06349504,-0.071363278,0.769656539,0.952943087,-0.032724842,0.749411225,1.012633681,-0.047616463,0.738022566,1.052654505,-0.059069268,0.727894843,1.087875366,-0.067774601,0.806558073,0.955742955,-0.038206067,0.801652133,1.007462025,-0.051735185,0.798212886,1.041259766,-0.058540951,0.793434501,1.0730896,-0.063101478,0
0.790118754,0.777985752,-0.027492231,0.736655951,0.780399561,-0.043465562,0.689220011,0.778361678,-0.058055189,0.651936829,0.769925177,-0.073920317,0.717196047,0.893153965,-0.030818366,0.675939679,0.934772611,-0.052210268,0.649846435,0.964992166,-0.07000789,0.62699002,0.99225688,-0.083226673,0.741568625,0.933033168,-0.031259522,0.70877552,0.994235754,-0.048863236,0.691149175,1.032207251,-0.064216398,0.676709473,1.065540195,-0.075999089,0.773611665,0.952724099,-0.0344714,0.752166331,1.01359868,-0.050657962,0.740415812,1.05370605,-0.062071491,0.729572594,1.0891397,-0.070701525,0.811113715,0.956456125,-0.04040936,0.805183828,1.009477139,-0.054457027,0.800232291,1.04164958,-0.060611758,0.79395473,1.071162343,-0.06469918,0
0.7960428,0.779466927,-0.026090015,0.743368626,0.781561613,-0.041680805,0.696129858,0.779631615,-0.056150585,0.659827292,0.771071553,-0.071880855,0.725076079,0.896827221,-0.029943267,0.681657732,0.938925147,-0.050627917,0.654507875,0.968916297,-0.067864232,0.631396234,0.995569646,-0.080752321,0.750178456,0.935743868,-0.031047538,0.717748046,0.999041557,-0.048198503,0.699781775,1.037223577,-0.063529521,0.68553555,1.069431901,-0.075513259,0.78252244,0.954383433,-0.034801666,0.762895107,1.016786575,-0.050705895,0.751132727,1.058414578,-0.063195273,0.740931273,1.094041109,-0.072775722,0.819724083,0.956676126,-0.041110884,0.815880537,1.010954261,-0.0554354,0.811483562,1.046292901,-0.063022725,0.805645883,1.078444123,-0.068270676,0
0.799902499,0.776008725,-0.02432934,0.74693954,0.778177798,-0.039001089,0.700609505,0.776461184,-0.053052522,0.665045917,0.767656922,-0.068289615,0.727089405,0.891055048,-0.026730623,0.684671164,0.931437314,-0.046842691,0.65888679,0.960274816,-0.06373629,0.636173844,0.986053169,-0.076312974,0.750864625,0.930172265,-0.028611518,0.715786457,0.992013812,-0.045154605,0.696483135,1.029757023,-0.059904162,0.680790424,1.063189626,-0.071150921,0.782602191,0.948965311,-0.033107106,0.761742055,1.010810494,-0.048509248,0.749194026,1.051729083,-0.060379192,0.737230062,1.088440537,-0.06937255,0.819842339,0.951738238,-0.040073425,0.815592587,1.004501462,-0.05375313,0.811625421,1.037856579,-0.060255129,0.806034982,1.069159269,-0.06466639,0
0.799977958,0.76730454,-0.024021517,0.746257067,0.768636942,-0.038345505,0.699929059,0.765372336,-0.052107021,0.664038181,0.75663662,-0.066954479,0.724440277,0.878676414,-0.027114587,0.681288898,0.918570161,-0.047712971,0.654124141,0.946345866,-0.064587161,0.629847884,0.970546722,-0.077036314,0.747191489,0.918400705,-0.029285775,0.712308824,0.980597436,-0.046296701,0.693134844,1.01845026,-0.060998607,0.678241432,1.050296664,-0.072026648,0.778238952,0.937830687,-0.034122024,0.757654071,1.000001431,-0.050021674,0.745501459,1.042277694,-0.062478818,0.734377265,1.079069734,-0.071680412,0.814902604,0.941054285,-0.041392386,0.810297251,0.994299769,-0.056010254,0.807124674,1.029993057,-0.063521743,0.802835882,1.063470721,-0.068445973,0
0.790958643,0.749699175,-0.023911141,0.737159073,0.74797225,-0.037721839,0.691810966,0.744160354,-0.050842427,0.657108366,0.734052896,-0.064925633,0.713373125,0.854194343,-0.027356325,0.668885112,0.892283499,-0.047052965,0.64154917,0.918362081,-0.062579051,0.617611647,0.942173302,-0.074324019,0.735087216,0.894616902,-0.029599953,0.69897598,0.953383267,-0.046473362,0.676918983,0.989071727,-0.060473107,0.658654273,1.020339131,-0.071265422,0.765504062,0.91621238,-0.034635067,0.74127382,0.98007381,-0.051383249,0.727234781,1.024422646,-0.064315952,0.713978887,1.062601328,-0.073723979,0.802051246,0.922825038,-0.042001925,0.797543645,0.980937421,-0.058510777,0.794128597,1.021219015,-0.067571253,0.788916945,1.058353782,-0.073462918,0
0.786350548,0.735905528,-0.022998836,0.731076837,0.734909534,-0.034718487,0.684975684,0.73305285,-0.045679826,0.651611328,0.72114861,-0.057363071,0.708445072,0.837005019,-0.024056401,0.66376406,0.873752117,-0.041613445,0.635635078,0.899933994,-0.056090813,0.610427737,0.924650669,-0.067323685,0.728558242,0.877938449,-0.026009636,0.690103173,0.936700642,-0.040863629,0.66504544,0.973081768,-0.053764585,0.643688679,1.005577326,-0.063914597,0.756984353,0.900589049,-0.030728461,0.731924236,0.961290061,-0.045656018,0.715151906,1.003736258,-0.057957701,0.698984563,1.041144609,-0.067163043,0.791782737,0.908425689,-0.037932478,0.786656022,0.965108156,-0.053027965,0.782396436,1.004496336,-0.061359745,0.775715172,1.04159224,-0.066987604,0
0.781708241,0.725485742,-0.024338007,0.726956725,0.723825693,-0.036548652,0.680519998,0.720911026,-0.047532741,0.646000624,0.707573652,-0.058930077,0.702839375,0.826945961,-0.025172271,0.657819748,0.860787272,-0.042139459,0.629278719,0.884608805,-0.056131478,0.604137063,0.907606304,-0.06708356,0.722189367,0.867278159,-0.02659044,0.682362616,0.924271286,-0.041255753,0.656650603,0.959908962,-0.053545177,0.635342658,0.992276549,-0.063097388,0.750190794,0.889844716,-0.030923992,0.723271072,0.950737059,-0.046707142,0.70580548,0.992979586,-0.059601761,0.689248919,1.030384302,-0.06882707,0.784832358,0.897854447,-0.037719719,0.780220747,0.957549691,-0.054699328,0.777248442,0.998739004,-0.064324245,0.771570683,1.038082123,-0.070459314,0
